event,pace,distance
Half,6,21.1
Half,6.016666667,21.1
Half,6.033333333,21.1
Half,6.033333333,21.1
Half,6.033333333,21.1
Half,6.05,21.1
Half,6.016666667,21.1
Half,6.05,21.1
Half,6.05,21.1
Half,6.033333333,21.1
Half,6.033333333,21.1
Half,6.016666667,21.1
Half,6.033333333,21.1
Half,6.05,21.1
Half,6.05,21.1
Half,6.05,21.1
Half,6.066666667,21.1
Half,6.05,21.1
Half,6.066666667,21.1
Half,6.066666667,21.1
Half,6.083333333,21.1
Half,6.066666667,21.1
Half,6.1,21.1
Half,6.083333333,21.1
Half,6.066666667,21.1
Half,6.116666667,21.1
Half,6.116666667,21.1
Half,6.116666667,21.1
Half,6.133333333,21.1
Half,6.133333333,21.1
Half,6.133333333,21.1
Half,6.133333333,21.1
Half,6.133333333,21.1
Half,6.116666667,21.1
Half,6.15,21.1
Half,6.166666667,21.1
Half,6.116666667,21.1
Half,6.15,21.1
Half,6.15,21.1
Half,6.116666667,21.1
Half,6.15,21.1
Half,6.183333333,21.1
Half,6.183333333,21.1
Half,6.166666667,21.1
Half,6.15,21.1
Half,6.183333333,21.1
Half,6.183333333,21.1
Half,6.183333333,21.1
Half,6.166666667,21.1
Half,6.15,21.1
Half,6.183333333,21.1
Half,6.15,21.1
Half,6.15,21.1
Half,6.183333333,21.1
Half,6.2,21.1
Half,6.2,21.1
Half,6.15,21.1
Half,6.166666667,21.1
Half,6.183333333,21.1
Half,6.2,21.1
Half,6.233333333,21.1
Half,6.216666667,21.1
Half,6.2,21.1
Half,6.25,21.1
Half,6.216666667,21.1
Half,6.216666667,21.1
Half,6.216666667,21.1
Half,6.233333333,21.1
Half,6.2,21.1
Half,6.216666667,21.1
Half,6.233333333,21.1
Half,6.233333333,21.1
Half,6.25,21.1
Half,6.266666667,21.1
Half,6.266666667,21.1
Half,6.316666667,21.1
Half,6.3,21.1
Half,6.3,21.1
Half,6.3,21.1
Half,6.3,21.1
Half,6.283333333,21.1
Half,6.283333333,21.1
Half,6.25,21.1
Half,6.3,21.1
Half,6.316666667,21.1
Half,6.3,21.1
Half,6.3,21.1
Half,6.283333333,21.1
Half,6.316666667,21.1
Half,6.316666667,21.1
Half,6.316666667,21.1
Half,6.283333333,21.1
Half,6.3,21.1
Half,6.3,21.1
Half,6.316666667,21.1
Half,6.316666667,21.1
Half,6.3,21.1
